elements,time
0,0.155
1000,108.44
2000,133.428
3000,158.77
4000,155.958
5000,161.844
6000,167.77
7000,168.618
8000,169.059
9000,171.965
10000,189.093
11000,176.844
12000,184.168
13000,187.974
14000,191.845
15000,186.091
16000,188.027
17000,203.248
18000,192.584
19000,225.723
20000,207.545
21000,205.961
22000,206.536
23000,210.522
24000,211.828
25000,231.8
26000,212.143
27000,212.659
28000,219.343
29000,223.712
30000,235.614
31000,270.745
32000,226.395
33000,254.259
34000,239.292
35000,232.016
36000,238.62
37000,244.263
38000,238.617
39000,257.824
40000,247.042
41000,248.754
42000,254.85
43000,266.772
44000,255.016
45000,261.666
46000,269.17
47000,266.722
48000,270.748
49000,287.634
50000,268.954
51000,287.482
52000,269.284
53000,279.822
54000,272.302
55000,271.655
56000,276.689
57000,279.449
58000,407.841
59000,394.773
60000,278.262
61000,307.032
62000,281.276
63000,298.867
64000,294.218
65000,294.116
66000,290.256
67000,295.284
68000,300.221
69000,289.824
70000,295.876
71000,295.674
72000,333.124
73000,306.605
74000,297.543
75000,337.681
76000,294.703
77000,288.627
78000,296.808
79000,324.697
80000,303.101
81000,330.443
82000,306.603
83000,311.187
84000,305.895
85000,300.323
86000,331.512
87000,314.959
88000,308.328
89000,303.916
90000,307.329
91000,315.721
92000,358.501
93000,314.51
94000,316.876
95000,312.843
96000,319.444
97000,342.479
98000,322.004
99000,352.044
100000,328.92
101000,326.822
102000,339.065
103000,323.112
104000,433.604
105000,329.622
106000,340.532
107000,338.303
108000,345.281
109000,339.182
110000,332.562
111000,327.418
112000,386.849
113000,353.991
114000,337.431
115000,344.801
116000,353.322
117000,351.108
118000,352.391
119000,368.713
120000,341.283
121000,351.651
122000,360.434
123000,352.505
124000,353.68
125000,350.533
126000,370.961
127000,397.767
128000,341.985
129000,374.436
130000,361.57
131000,362.953
132000,347.788
133000,362.619
134000,354.267
135000,398.258
136000,361.631
137000,380.208
138000,356.593
139000,355.437
140000,376.782
141000,369.705
142000,400.258
143000,506.137
144000,447.32
145000,388.884
146000,385.051
147000,537.143
148000,499.286
149000,406.531
150000,403.323
151000,400.094
152000,509.707
153000,468.087
154000,433.897
155000,392.261
156000,382.418
157000,378.408
158000,403.863
159000,381.656
160000,388.03
161000,388.602
162000,391.374
163000,382.448
164000,396.99
165000,406.92
166000,378.188
167000,383.602
168000,400.358
169000,421.369
170000,404.145
171000,400.338
172000,510.71
173000,391.151
174000,389.433
175000,403.583
176000,450.053
177000,419.801
178000,432.434
179000,437.627
180000,405.28
181000,402.307
182000,408.897
183000,404.957
184000,403.681
185000,421.826
186000,405.949
187000,411.079
188000,407.447
189000,421.812
190000,428.239
191000,620.385
192000,411.804
193000,415.04
194000,412.813
195000,431.675
196000,401.322
197000,418.232
198000,508.121
199000,428.607
